Year,Type of Benefit,Geographic Region,Population Group,Unit,Value
2019,Outdoor Persons Registered on Poor Relief Programme,Manchester,,per 100.000 population,297.4
2019,Outdoor Persons Registered on Poor Relief Programme,Clarendon,,per 100.000 population,495.7
2019,Outdoor Persons Registered on Poor Relief Programme,St Catherine,,per 100.000 population,334.3
2019,Outdoor Persons Registered on Poor Relief Programme,Jamaica,,per 100.000 population,490.7
2019,Indoor Persons Registered on Poor Relief Programme,Kingston & St Andrew,Total,Number,456.0
2019,Indoor Persons Registered on Poor Relief Programme,St Thomas,Total,Number,66.0
2019,Indoor Persons Registered on Poor Relief Programme,Portland,Total,Number,62.0
2019,Indoor Persons Registered on Poor Relief Programme,St Mary,Total,Number,89.0
2019,Indoor Persons Registered on Poor Relief Programme,St Ann,Total,Number,108.0
2019,Indoor Persons Registered on Poor Relief Programme,Trelawny,Total,Number,55.0
2019,Indoor Persons Registered on Poor Relief Programme,St James,Total,Number,55.0
2019,Indoor Persons Registered on Poor Relief Programme,Hanover,Total,Number,51.0
2019,Indoor Persons Registered on Poor Relief Programme,Westmoreland,Total,Number,72.0
2019,Indoor Persons Registered on Poor Relief Programme,St Elizabeth,Total,Number,53.0
2019,Indoor Persons Registered on Poor Relief Programme,Manchester,Total,Number,76.0
2019,Indoor Persons Registered on Poor Relief Programme,Clarendon,Total,Number,113.0
2019,Indoor Persons Registered on Poor Relief Programme,St Catherine,Total,Number,124.0
2019,Indoor Persons Registered on Poor Relief Programme,Jamaica,Total,Number,1380.0
2019,Indoor Persons Registered on Poor Relief Programme,Kingston & St Andrew,Total,"per 100,000 population",68.82
2019,Indoor Persons Registered on Poor Relief Programme,St Thomas,Total,"per 100,000 population",69.93
2019,Indoor Persons Registered on Poor Relief Programme,Portland,Total,"per 100,000 population",76.56
2019,Indoor Persons Registered on Poor Relief Programme,St Mary,Total,"per 100,000 population",77.4
2019,Indoor Persons Registered on Poor Relief Programme,St Ann,Total,"per 100,000 population",61.1
2019,Indoor Persons Registered on Poor Relief Programme,Trelawny,Total,"per 100,000 population",70.25
2019,Indoor Persons Registered on Poor Relief Programme,St James,Total,"per 100,000 population",28.75
2019,Indoor Persons Registered on Poor Relief Programme,Hanover,Total,"per 100,000 population",70.47
2019,Indoor Persons Registered on Poor Relief Programme,Westmoreland,Total,"per 100,000 population",48.12
2019,Indoor Persons Registered on Poor Relief Programme,St Elizabeth,Total,"per 100,000 population",34.89
2019,Indoor Persons Registered on Poor Relief Programme,Manchester,Total,"per 100,000 population",39.65
2019,Indoor Persons Registered on Poor Relief Programme,Clarendon,Total,"per 100,000 population",45.72
2019,Indoor Persons Registered on Poor Relief Programme,St Catherine,Total,"per 100,000 population",23.82
2019,Indoor Persons Registered on Poor Relief Programme,Jamaica,Total,"per 100,000 population",50.5
2020,Population covered by PATH,Jamaica,,per cent,17.9
2020,Population covered by PATH,,Children,per cent,21.7
2020,Population covered by PATH,,Adult,per cent,1.3
2020,Population covered by PATH,,Persons with disabilities,per cent,0.6
2020,Population covered by PATH,,Elderly,per cent,18.3
2020,Population covered by PATH,,Pregnant and Lactating Women,per cent,0.2
2020,Outdoor Persons Registered on Poor Relief Programme,Kingston & St Andrew,Male,Number,1432.0
2020,Outdoor Persons Registered on Poor Relief Programme,Kingston & St Andrew,Female,Number,1592.0
2020,Outdoor Persons Registered on Poor Relief Programme,Kingston & St Andrew,Total,Number,3024.0
2020,Outdoor Persons Registered on Poor Relief Programme,St Thomas,Male,Number,236.0
2020,Outdoor Persons Registered on Poor Relief Programme,St Thomas,Female,Number,339.0
2020,Outdoor Persons Registered on Poor Relief Programme,St Thomas,Total,Number,575.0
2020,Outdoor Persons Registered on Poor Relief Programme,Portland,Male,Number,467.0
2020,Outdoor Persons Registered on Poor Relief Programme,Portland,Female,Number,621.0
2020,Outdoor Persons Registered on Poor Relief Programme,Portland,Total,Number,1088.0
2020,Outdoor Persons Registered on Poor Relief Programme,St Mary,Male,Number,317.0
2020,Outdoor Persons Registered on Poor Relief Programme,St Mary,Female,Number,207.0
2020,Outdoor Persons Registered on Poor Relief Programme,St Mary,Total,Number,524.0
2020,Outdoor Persons Registered on Poor Relief Programme,St Ann,Male,Number,394.0
2020,Outdoor Persons Registered on Poor Relief Programme,St Ann,Female,Number,348.0
2020,Outdoor Persons Registered on Poor Relief Programme,St Ann,Total,Number,742.0
2020,Outdoor Persons Registered on Poor Relief Programme,Trelawny,Male,Number,266.0
2020,Outdoor Persons Registered on Poor Relief Programme,Trelawny,Female,Number,227.0
2020,Outdoor Persons Registered on Poor Relief Programme,Trelawny,Total,Number,493.0
2020,Outdoor Persons Registered on Poor Relief Programme,St James,Male,Number,773.0
2020,Outdoor Persons Registered on Poor Relief Programme,St James,Female,Number,691.0
2020,Outdoor Persons Registered on Poor Relief Programme,St James,Total,Number,1464.0
2020,Outdoor Persons Registered on Poor Relief Programme,Hanover,Male,Number,385.0
2020,Outdoor Persons Registered on Poor Relief Programme,Hanover,Female,Number,400.0
2020,Outdoor Persons Registered on Poor Relief Programme,Hanover,Total,Number,785.0
2020,Outdoor Persons Registered on Poor Relief Programme,Westmoreland,Male,Number,264.0
2020,Outdoor Persons Registered on Poor Relief Programme,Westmoreland,Female,Number,247.0
2020,Outdoor Persons Registered on Poor Relief Programme,Westmoreland,Total,Number,511.0
2020,Outdoor Persons Registered on Poor Relief Programme,St Elizabeth,Male,Number,312.0
2020,Outdoor Persons Registered on Poor Relief Programme,St Elizabeth,Female,Number,348.0
2020,Outdoor Persons Registered on Poor Relief Programme,St Elizabeth,Total,Number,660.0
2020,Outdoor Persons Registered on Poor Relief Programme,Manchester,Male,Number,361.0
2020,Outdoor Persons Registered on Poor Relief Programme,Manchester,Female,Number,258.0
2020,Outdoor Persons Registered on Poor Relief Programme,Manchester,Total,Number,619.0
2020,Outdoor Persons Registered on Poor Relief Programme,Clarendon,Male,Number,676.0
2020,Outdoor Persons Registered on Poor Relief Programme,Clarendon,Female,Number,579.0
2020,Outdoor Persons Registered on Poor Relief Programme,Clarendon,Total,Number,1255.0
2020,Outdoor Persons Registered on Poor Relief Programme,St Catherine,Male,Number,1055.0
2020,Outdoor Persons Registered on Poor Relief Programme,St Catherine,Female,Number,829.0
2020,Outdoor Persons Registered on Poor Relief Programme,St Catherine,Total,Number,1884.0
2020,Outdoor Persons Registered on Poor Relief Programme,Jamaica,Male,Number,6938.0
2020,Outdoor Persons Registered on Poor Relief Programme,Jamaica,Female,Number,6686.0
2020,Outdoor Persons Registered on Poor Relief Programme,Jamaica,Total,Number,13624.0
2020,Outdoor Persons Registered on Poor Relief Programme,Kingston & St Andrew,,per 100.000 population,419.0
2020,Outdoor Persons Registered on Poor Relief Programme,St Thomas,,per 100.000 population,66.0
2020,Outdoor Persons Registered on Poor Relief Programme,Jamaica,,per 100.000 population,498.6
2020,Indoor Persons Registered on Poor Relief Programme,Kingston & St Andrew,Total,Number,419.0
2020,Indoor Persons Registered on Poor Relief Programme,St Thomas,Total,Number,66.0
2020,Indoor Persons Registered on Poor Relief Programme,Portland,Total,Number,59.0
2020,Indoor Persons Registered on Poor Relief Programme,St Mary,Total,Number,84.0
2020,Indoor Persons Registered on Poor Relief Programme,St Ann,Total,Number,101.0
2020,Indoor Persons Registered on Poor Relief Programme,Trelawny,Total,Number,53.0
2020,Indoor Persons Registered on Poor Relief Programme,St James,Total,Number,52.0
2020,Indoor Persons Registered on Poor Relief Programme,Hanover,Total,Number,46.0
2020,Indoor Persons Registered on Poor Relief Programme,Westmoreland,Total,Number,70.0
2020,Indoor Persons Registered on Poor Relief Programme,St Elizabeth,Total,Number,51.0
2020,Indoor Persons Registered on Poor Relief Programme,Manchester,Total,Number,73.0
2020,Indoor Persons Registered on Poor Relief Programme,Clarendon,Total,Number,107.0
2020,Indoor Persons Registered on Poor Relief Programme,St Catherine,Total,Number,124.0
2020,Indoor Persons Registered on Poor Relief Programme,Jamaica,Total,Number,1305.0
2020,Indoor Persons Registered on Poor Relief Programme,Kingston & St Andrew,Total,"per 100,000 population",63.24
2020,Indoor Persons Registered on Poor Relief Programme,St Thomas,Total,"per 100,000 population",69.93
2020,Indoor Persons Registered on Poor Relief Programme,Portland,Total,"per 100,000 population",72.85
2020,Indoor Persons Registered on Poor Relief Programme,St Mary,Total,"per 100,000 population",73.05
2020,Indoor Persons Registered on Poor Relief Programme,St Ann,Total,"per 100,000 population",57.14
2020,Indoor Persons Registered on Poor Relief Programme,Trelawny,Total,"per 100,000 population",67.69
2020,Indoor Persons Registered on Poor Relief Programme,St James,Total,"per 100,000 population",27.18
2020,Indoor Persons Registered on Poor Relief Programme,Hanover,Total,"per 100,000 population",63.56
2020,Indoor Persons Registered on Poor Relief Programme,Westmoreland,Total,"per 100,000 population",46.78
2020,Indoor Persons Registered on Poor Relief Programme,St Elizabeth,Total,"per 100,000 population",33.57
2020,Indoor Persons Registered on Poor Relief Programme,Manchester,Total,"per 100,000 population",38.08
2020,Indoor Persons Registered on Poor Relief Programme,Clarendon,Total,"per 100,000 population",43.29
2020,Indoor Persons Registered on Poor Relief Programme,St Catherine,Total,"per 100,000 population",23.82
2020,Indoor Persons Registered on Poor Relief Programme,Jamaica,Total,"per 100,000 population",47.76
2021,Persons Registered with the National Insurance Scheme,Jamaica,,per cent,48.7
2021,Persons Registered with the National Insurance Scheme,Greater Kingston Metropolitan Area,,per cent,61.6
2021,Persons Registered with the National Insurance Scheme,Other Urban Centre,,per cent,52.5
2021,Persons Registered with the National Insurance Scheme,Rural,,per cent,38.8
2021,Persons Registered with the National Insurance Scheme,,Male,per cent,47.3
2021,Persons Registered with the National Insurance Scheme,,Female,per cent,50.0
2021,Population covered by PATH,Jamaica,,per cent,11.3
2021,Population covered by PATH,,Children,per cent,26.6
2021,Population covered by PATH,,Adult,per cent,1.1
2021,Population covered by PATH,,Persons with disabilities,per cent,0.6
2021,Population covered by PATH,,Elderly,per cent,19.1
2021,Population covered by PATH,,Pregnant and Lactating Women,per cent,0.2
2021,Registered with Jamaica Drugs for the Elderly Programme,Jamaica,,per cent,17.4
2021,Registered with Jamaica Drugs for the Elderly Programme,Greater Kingston Metropolitan Area,,per cent,21.2
2021,Registered with Jamaica Drugs for the Elderly Programme,Other Urban Centre,,per cent,15.5
2021,Registered with Jamaica Drugs for the Elderly Programme,Rural,,per cent,15.8
2021,Registered with Jamaica Drugs for the Elderly Programme,,Male,per cent,15.2
2021,Registered with Jamaica Drugs for the Elderly Programme,,Female,per cent,19.4
2021,Registered with the National Health Fund,Jamaica,,per cent,24.0
2021,Registered with the National Health Fund,Greater Kingston Metropolitan Area,,per cent,26.5
2021,Registered with the National Health Fund,Other Urban Centre,,per cent,24.5
2021,Registered with the National Health Fund,Rural,,per cent,22.5
2021,Registered with the National Health Fund,,Male,per cent,18.1
2021,Registered with the National Health Fund,,Female,per cent,29.9
2021,Outdoor Persons Registered on Poor Relief Programme,Kingston & St Andrew,Male,Number,1505.0
2021,Outdoor Persons Registered on Poor Relief Programme,Kingston & St Andrew,Female,Number,1584.0
2021,Outdoor Persons Registered on Poor Relief Programme,Kingston & St Andrew,Total,Number,3089.0
2021,Outdoor Persons Registered on Poor Relief Programme,St Thomas,Male,Number,238.0
2021,Outdoor Persons Registered on Poor Relief Programme,St Thomas,Female,Number,324.0
2021,Outdoor Persons Registered on Poor Relief Programme,St Thomas,Total,Number,562.0
2021,Outdoor Persons Registered on Poor Relief Programme,Portland,Male,Number,493.0
2021,Outdoor Persons Registered on Poor Relief Programme,Portland,Female,Number,608.0
2021,Outdoor Persons Registered on Poor Relief Programme,Portland,Total,Number,1101.0
2021,Outdoor Persons Registered on Poor Relief Programme,St Mary,Male,Number,337.0
2021,Outdoor Persons Registered on Poor Relief Programme,St Mary,Female,Number,212.0
2021,Outdoor Persons Registered on Poor Relief Programme,St Mary,Total,Number,549.0
2021,Outdoor Persons Registered on Poor Relief Programme,St Ann,Male,Number,397.0
2021,Outdoor Persons Registered on Poor Relief Programme,St Ann,Female,Number,327.0
2021,Outdoor Persons Registered on Poor Relief Programme,St Ann,Total,Number,724.0
2021,Outdoor Persons Registered on Poor Relief Programme,Trelawny,Male,Number,314.0
2021,Outdoor Persons Registered on Poor Relief Programme,Trelawny,Female,Number,262.0
2021,Outdoor Persons Registered on Poor Relief Programme,Trelawny,Total,Number,576.0
2021,Outdoor Persons Registered on Poor Relief Programme,St James,Male,Number,788.0
2021,Outdoor Persons Registered on Poor Relief Programme,St James,Female,Number,694.0
2021,Outdoor Persons Registered on Poor Relief Programme,St James,Total,Number,1482.0
2021,Outdoor Persons Registered on Poor Relief Programme,Hanover,Male,Number,376.0
2021,Outdoor Persons Registered on Poor Relief Programme,Hanover,Female,Number,391.0
2021,Outdoor Persons Registered on Poor Relief Programme,Hanover,Total,Number,767.0
2021,Outdoor Persons Registered on Poor Relief Programme,Westmoreland,Male,Number,281.0
2021,Outdoor Persons Registered on Poor Relief Programme,Westmoreland,Female,Number,235.0
2021,Outdoor Persons Registered on Poor Relief Programme,Westmoreland,Total,Number,516.0
2021,Outdoor Persons Registered on Poor Relief Programme,St Elizabeth,Male,Number,331.0
2021,Outdoor Persons Registered on Poor Relief Programme,St Elizabeth,Female,Number,348.0
2021,Outdoor Persons Registered on Poor Relief Programme,St Elizabeth,Total,Number,679.0
2021,Outdoor Persons Registered on Poor Relief Programme,Manchester,Male,Number,358.0
2021,Outdoor Persons Registered on Poor Relief Programme,Manchester,Female,Number,252.0
2021,Outdoor Persons Registered on Poor Relief Programme,Manchester,Total,Number,610.0
2021,Outdoor Persons Registered on Poor Relief Programme,Clarendon,Male,Number,650.0
2021,Outdoor Persons Registered on Poor Relief Programme,Clarendon,Female,Number,563.0
2021,Outdoor Persons Registered on Poor Relief Programme,Clarendon,Total,Number,1213.0
2021,Outdoor Persons Registered on Poor Relief Programme,St Catherine,Male,Number,1103.0
2021,Outdoor Persons Registered on Poor Relief Programme,St Catherine,Female,Number,846.0
2021,Outdoor Persons Registered on Poor Relief Programme,St Catherine,Total,Number,1949.0
2021,Outdoor Persons Registered on Poor Relief Programme,Jamaica,Male,Number,7171.0
2021,Outdoor Persons Registered on Poor Relief Programme,Jamaica,Female,Number,6646.0
2021,Outdoor Persons Registered on Poor Relief Programme,Jamaica,Total,Number,13817.0
2021,Outdoor Persons Registered on Poor Relief Programme,Kingston & St Andrew,,per 100.000 population,380.0
2021,Outdoor Persons Registered on Poor Relief Programme,St Thomas,,per 100.000 population,47.0
2021,Outdoor Persons Registered on Poor Relief Programme,Jamaica,,per 100.000 population,505.6
2021,Indoor Persons Registered on Poor Relief Programme,Kingston & St Andrew,Total,Number,380.0
2021,Indoor Persons Registered on Poor Relief Programme,St Thomas,Total,Number,47.0
2021,Indoor Persons Registered on Poor Relief Programme,Portland,Total,Number,49.0
2021,Indoor Persons Registered on Poor Relief Programme,St Mary,Total,Number,75.0
2021,Indoor Persons Registered on Poor Relief Programme,St Ann,Total,Number,87.0
2021,Indoor Persons Registered on Poor Relief Programme,Trelawny,Total,Number,46.0
2021,Indoor Persons Registered on Poor Relief Programme,St James,Total,Number,47.0
2021,Indoor Persons Registered on Poor Relief Programme,Hanover,Total,Number,40.0
2021,Indoor Persons Registered on Poor Relief Programme,Westmoreland,Total,Number,63.0
2021,Indoor Persons Registered on Poor Relief Programme,St Elizabeth,Total,Number,42.0
2021,Indoor Persons Registered on Poor Relief Programme,Manchester,Total,Number,61.0
2021,Indoor Persons Registered on Poor Relief Programme,Clarendon,Total,Number,113.0
2021,Indoor Persons Registered on Poor Relief Programme,St Catherine,Total,Number,96.0
2021,Indoor Persons Registered on Poor Relief Programme,Jamaica,Total,Number,1146.0
2021,Indoor Persons Registered on Poor Relief Programme,Kingston & St Andrew,Total,"per 100,000 population",57.35
2021,Indoor Persons Registered on Poor Relief Programme,St Thomas,Total,"per 100,000 population",49.8
2021,Indoor Persons Registered on Poor Relief Programme,Portland,Total,"per 100,000 population",60.51
2021,Indoor Persons Registered on Poor Relief Programme,St Mary,Total,"per 100,000 population",65.22
2021,Indoor Persons Registered on Poor Relief Programme,St Ann,Total,"per 100,000 population",49.22
2021,Indoor Persons Registered on Poor Relief Programme,Trelawny,Total,"per 100,000 population",58.75
2021,Indoor Persons Registered on Poor Relief Programme,St James,Total,"per 100,000 population",24.57
2021,Indoor Persons Registered on Poor Relief Programme,Hanover,Total,"per 100,000 population",55.27
2021,Indoor Persons Registered on Poor Relief Programme,Westmoreland,Total,"per 100,000 population",42.1
2021,Indoor Persons Registered on Poor Relief Programme,St Elizabeth,Total,"per 100,000 population",27.65
2021,Indoor Persons Registered on Poor Relief Programme,Manchester,Total,"per 100,000 population",31.82
2021,Indoor Persons Registered on Poor Relief Programme,Clarendon,Total,"per 100,000 population",45.72
2021,Indoor Persons Registered on Poor Relief Programme,St Catherine,Total,"per 100,000 population",18.44
2021,Indoor Persons Registered on Poor Relief Programme,Jamaica,Total,"per 100,000 population",41.94
2022,Population covered by PATH,Jamaica,,per cent,9.9
2022,Population covered by PATH,,Children,per cent,23.1
2022,Population covered by PATH,,Adult,per cent,1.1
2022,Population covered by PATH,,Persons with disabilities,per cent,0.6
2022,Population covered by PATH,,Elderly,per cent,16.5
2022,Population covered by PATH,,Pregnant and Lactating Women,per cent,0.1
2022,Outdoor Persons Registered on Poor Relief Programme,Kingston & St Andrew,Male,Number,1534.0
2022,Outdoor Persons Registered on Poor Relief Programme,Kingston & St Andrew,Female,Number,1585.0
2022,Outdoor Persons Registered on Poor Relief Programme,Kingston & St Andrew,Total,Number,3119.0
2022,Outdoor Persons Registered on Poor Relief Programme,St Thomas,Male,Number,272.0
2022,Outdoor Persons Registered on Poor Relief Programme,St Thomas,Female,Number,354.0
2022,Outdoor Persons Registered on Poor Relief Programme,St Thomas,Total,Number,626.0
2022,Outdoor Persons Registered on Poor Relief Programme,Portland,Male,Number,478.0
2022,Outdoor Persons Registered on Poor Relief Programme,Portland,Female,Number,578.0
2022,Outdoor Persons Registered on Poor Relief Programme,Portland,Total,Number,1056.0
2022,Outdoor Persons Registered on Poor Relief Programme,St Mary,Male,Number,353.0
2022,Outdoor Persons Registered on Poor Relief Programme,St Mary,Female,Number,214.0
2022,Outdoor Persons Registered on Poor Relief Programme,St Mary,Total,Number,567.0
2022,Outdoor Persons Registered on Poor Relief Programme,St Ann,Male,Number,388.0
2022,Outdoor Persons Registered on Poor Relief Programme,St Ann,Female,Number,308.0
2022,Outdoor Persons Registered on Poor Relief Programme,St Ann,Total,Number,696.0
2022,Outdoor Persons Registered on Poor Relief Programme,Trelawny,Male,Number,329.0
2022,Outdoor Persons Registered on Poor Relief Programme,Trelawny,Female,Number,260.0
2022,Outdoor Persons Registered on Poor Relief Programme,Trelawny,Total,Number,589.0
2022,Outdoor Persons Registered on Poor Relief Programme,St James,Male,Number,778.0
2022,Outdoor Persons Registered on Poor Relief Programme,St James,Female,Number,666.0
2022,Outdoor Persons Registered on Poor Relief Programme,St James,Total,Number,1444.0
2022,Outdoor Persons Registered on Poor Relief Programme,Hanover,Male,Number,368.0
2022,Outdoor Persons Registered on Poor Relief Programme,Hanover,Female,Number,382.0
2022,Outdoor Persons Registered on Poor Relief Programme,Hanover,Total,Number,750.0
2022,Outdoor Persons Registered on Poor Relief Programme,Westmoreland,Male,Number,292.0
2022,Outdoor Persons Registered on Poor Relief Programme,Westmoreland,Female,Number,223.0
2022,Outdoor Persons Registered on Poor Relief Programme,Westmoreland,Total,Number,515.0
2022,Outdoor Persons Registered on Poor Relief Programme,St Elizabeth,Male,Number,323.0
2022,Outdoor Persons Registered on Poor Relief Programme,St Elizabeth,Female,Number,327.0
2022,Outdoor Persons Registered on Poor Relief Programme,St Elizabeth,Total,Number,650.0
2022,Outdoor Persons Registered on Poor Relief Programme,Manchester,Male,Number,364.0
2022,Outdoor Persons Registered on Poor Relief Programme,Manchester,Female,Number,246.0
2022,Outdoor Persons Registered on Poor Relief Programme,Manchester,Total,Number,600.0
2022,Outdoor Persons Registered on Poor Relief Programme,Clarendon,Male,Number,648.0
2022,Outdoor Persons Registered on Poor Relief Programme,Clarendon,Female,Number,566.0
2022,Outdoor Persons Registered on Poor Relief Programme,Clarendon,Total,Number,1214.0
2022,Outdoor Persons Registered on Poor Relief Programme,St Catherine,Male,Number,1159.0
2022,Outdoor Persons Registered on Poor Relief Programme,St Catherine,Female,Number,886.0
2022,Outdoor Persons Registered on Poor Relief Programme,St Catherine,Total,Number,2045.0
2022,Outdoor Persons Registered on Poor Relief Programme,Jamaica,Male,Number,7286.0
2022,Outdoor Persons Registered on Poor Relief Programme,Jamaica,Female,Number,6595.0
2022,Outdoor Persons Registered on Poor Relief Programme,Jamaica,Total,Number,13871.0
2022,Outdoor Persons Registered on Poor Relief Programme,Kingston & St Andrew,,per 100.000 population,440.0
2022,Outdoor Persons Registered on Poor Relief Programme,St Thomas,,per 100.000 population,55.0
2022,Outdoor Persons Registered on Poor Relief Programme,Jamaica,,per 100.000 population,463.2
2022,Indoor Persons Registered on Poor Relief Programme,Kingston & St Andrew,Total,Number,440.0
2022,Indoor Persons Registered on Poor Relief Programme,St Thomas,Total,Number,55.0
2022,Indoor Persons Registered on Poor Relief Programme,Portland,Total,Number,45.0
2022,Indoor Persons Registered on Poor Relief Programme,St Mary,Total,Number,71.0
2022,Indoor Persons Registered on Poor Relief Programme,St Ann,Total,Number,86.0
2022,Indoor Persons Registered on Poor Relief Programme,Trelawny,Total,Number,46.0
2022,Indoor Persons Registered on Poor Relief Programme,St James,Total,Number,48.0
2022,Indoor Persons Registered on Poor Relief Programme,Hanover,Total,Number,40.0
2022,Indoor Persons Registered on Poor Relief Programme,Westmoreland,Total,Number,60.0
2022,Indoor Persons Registered on Poor Relief Programme,St Elizabeth,Total,Number,49.0
2022,Indoor Persons Registered on Poor Relief Programme,Manchester,Total,Number,63.0
2022,Indoor Persons Registered on Poor Relief Programme,Clarendon,Total,Number,106.0
2022,Indoor Persons Registered on Poor Relief Programme,St Catherine,Total,Number,115.0
2022,Indoor Persons Registered on Poor Relief Programme,Jamaica,Total,Number,1224.0
2022,Indoor Persons Registered on Poor Relief Programme,Kingston & St Andrew,Total,"per 100,000 population",66.41
2022,Indoor Persons Registered on Poor Relief Programme,St Thomas,Total,"per 100,000 population",58.27
2022,Indoor Persons Registered on Poor Relief Programme,Portland,Total,"per 100,000 population",55.57
2022,Indoor Persons Registered on Poor Relief Programme,St Mary,Total,"per 100,000 population",61.74
2022,Indoor Persons Registered on Poor Relief Programme,St Ann,Total,"per 100,000 population",48.66
2022,Indoor Persons Registered on Poor Relief Programme,Trelawny,Total,"per 100,000 population",58.75
2022,Indoor Persons Registered on Poor Relief Programme,St James,Total,"per 100,000 population",25.09
2022,Indoor Persons Registered on Poor Relief Programme,Hanover,Total,"per 100,000 population",55.27
2022,Indoor Persons Registered on Poor Relief Programme,Westmoreland,Total,"per 100,000 population",40.1
2022,Indoor Persons Registered on Poor Relief Programme,St Elizabeth,Total,"per 100,000 population",32.25
2022,Indoor Persons Registered on Poor Relief Programme,Manchester,Total,"per 100,000 population",32.87
2022,Indoor Persons Registered on Poor Relief Programme,Clarendon,Total,"per 100,000 population",42.89
2022,Indoor Persons Registered on Poor Relief Programme,St Catherine,Total,"per 100,000 population",22.09
2022,Indoor Persons Registered on Poor Relief Programme,Jamaica,Total,"per 100,000 population",46.1
2022,,,Total,Per cent,69.9
2022,,,Male,Per cent,61.9
2022,,,Female,Per cent,75.7
2022,,Urban,,Per cent,67.7
2022,,Greater Kingston Metropolitan Area,,Per cent,68.0
2022,,Other Urban Centres,,Per cent,67.1
2022,,Rural,,Per cent,72.4
2022,,,Poorest,Per cent,72.4
2022,,,Second,Per cent,72.4
2022,,,Middle,Per cent,69.9
2022,,,Fourth,Per cent,68.4
2022,,,Richest,Per cent,66.4
2023,Persons Registered with the National Insurance Scheme,Jamaica,,per cent,51.3
2023,Persons Registered with the National Insurance Scheme,Greater Kingston Metropolitan Area,,per cent,65.4
2023,Persons Registered with the National Insurance Scheme,Other Urban Centre,,per cent,51.0
2023,Persons Registered with the National Insurance Scheme,Rural,,per cent,43.7
2023,Persons Registered with the National Insurance Scheme,,Male,per cent,53.4
2023,Persons Registered with the National Insurance Scheme,,Female,per cent,49.4
2023,Population covered by PATH,Jamaica,,per cent,8.9
2023,Population covered by PATH,,Children,per cent,18.6
2023,Population covered by PATH,,Adult,per cent,1.4
2023,Population covered by PATH,,Persons with disabilities,per cent,0.6
2023,Population covered by PATH,,Elderly,per cent,16.8
2023,Population covered by PATH,,Pregnant and Lactating Women,per cent,0.1
2023,Outdoor Persons Registered on Poor Relief Programme,Jamaica,Male,Number,7315.0
2023,Outdoor Persons Registered on Poor Relief Programme,Jamaica,Female,Number,6475.0
2023,Outdoor Persons Registered on Poor Relief Programme,Jamaica,Total,Number,13790.0
2023,Outdoor Persons Registered on Poor Relief Programme,Jamaica,,per 100.000 population,504.7
2023,Indoor Persons Registered on Poor Relief Programme,Jamaica,Total,"per 100,000 population",44.79
2024,Population covered by PATH,Jamaica,,per cent,8.8
2024,Population covered by PATH,,Children,per cent,18.0
2024,Population covered by PATH,,Adult,per cent,1.4
2024,Population covered by PATH,,Persons with disabilities,per cent,0.6
2024,Population covered by PATH,,Elderly,per cent,17.2
2024,Population covered by PATH,,Pregnant and Lactating Women,per cent,0.1
2024,Outdoor Persons Registered on Poor Relief Programme,Jamaica,Male,Number,7248.0
2024,Outdoor Persons Registered on Poor Relief Programme,Jamaica,Female,Number,6416.0
2024,Outdoor Persons Registered on Poor Relief Programme,Jamaica,Total,Number,13664.0
2024,Outdoor Persons Registered on Poor Relief Programme,Jamaica,,per 100.000 population,500.0
2024,Indoor Persons Registered on Poor Relief Programme,Jamaica,Total,"per 100,000 population",47.3
