Year,Category,Unit,Value
FY2018/2019,Fiscal Year GDP,(J$ Million),2052875
FY2020/2021,Central Government Revenue and Grants,(J$ Million),575401.1
FY2020/2021,Fiscal Year GDP,(J$ Million),1948913
FY2013/2014,Central Government Revenue and Grants,(J$ Million),396979.4
FY2013/2014,Fiscal Year GDP,(J$ Million),1462211
FY2013/2014,Proportion of Central Government Revenue to GDP,(%),27.1
FY2014/2015,Central Government Revenue and Grants,(J$ Million),411716.1
FY2014/2015,Fiscal Year GDP,(J$ Million),1568545
FY2014/2015,Proportion of Central Government Revenue to GDP,(%),26.2
FY2015/2016,Central Government Revenue and Grants,(J$ Million),455835.8
FY2015/2016,Fiscal Year GDP,(J$ Million),1688754
FY2015/2016,Proportion of Central Government Revenue to GDP,(%),27
FY2016/2017,Central Government Revenue and Grants,(J$ Million),499879.9
FY2016/2017,Fiscal Year GDP,(J$ Million),1787954
FY2016/2017,Proportion of Central Government Revenue to GDP,(%),28
FY2017/2018,Central Government Revenue and Grants,(J$ Million),560773.6
FY2017/2018,Fiscal Year GDP,(J$ Million),1927203
FY2017/2018,Proportion of Central Government Revenue to GDP,(%),29.1
FY2018/2019,Central Government Revenue and Grants,(J$ Million),628985.2
FY2018/2019,Fiscal Year GDP,(J$ Million),2052875
FY2018/2019,Proportion of Central Government Revenue to GDP,(%),30.6
FY2019/2020,Central Government Revenue and Grants,(J$ Million),649759.2
FY2019/2020,Fiscal Year GDP,(J$ Million),2130103
FY2019/2020,Proportion of Central Government Revenue to GDP,(%),30.5
FY2021/2022,Central Government Revenue and Grants ,(J$ Million),716904.7
FY2021/2022,Fiscal Year GDP ,(J$ Million),2322084
FY2021/2022,Proportion of Central Government Revenue to GDP ,(%),30.9
